stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
8743_10,,上原住宅入口,,38.336833,140.695138,8743_10,,0,,,,
8745_10,,日向上,,38.339187,140.693144,8745_10,,0,,,,
8747_10,,宇治沢,,38.341603,140.689590,8747_10,,0,,,,
8749_10,,矢籠,,38.352856,140.683055,8749_10,,0,,,,
8751_10,,斎野神,,38.362884,140.678292,8751_10,,0,,,,
8755_0,,定義,,38.362811,140.671543,8755_0,,0,,,,
8755_10,,定義,,38.362816,140.671545,8755_10,,0,,,,
8801_51,,栗生入口,,38.270367,140.790567,8801_51,,0,,,,
8803_51,,栗生,,38.266349,140.790684,8803_51,,0,,,,
8841_11,,宮城総合支所・愛子小学校前,,38.268834,140.761249,8841_11,,0,,,,
8841_51,,宮城総合支所・愛子小学校前,,38.269662,140.761552,8841_51,,0,,,,
8845_11,,諏訪神社前,,38.266499,140.761083,8845_11,,0,,,,
8845_51,,諏訪神社前,,38.266477,140.761337,8845_51,,0,,,,
8851_11,,錦ケ丘中学校前,,38.263106,140.762227,8851_11,,0,,,,
8851_51,,錦ケ丘中学校前,,38.263347,140.762346,8851_51,,0,,,,
8853_0,,錦ケ丘八丁目,,38.258197,140.759904,8853_0,,0,,,,
8854_11,,錦ケ丘七丁目北・天文台入口,,38.257241,140.758725,8854_11,,0,,,,
8854_51,,錦ケ丘七丁目北・天文台入口,,38.256638,140.758819,8854_51,,0,,,,
8855_11,,錦ケ丘七丁目,,38.253611,140.759193,8855_11,,0,,,,
8855_51,,錦ケ丘七丁目,,38.254469,140.759075,8855_51,,0,,,,
8857_11,,錦ケ丘五丁目,,38.251001,140.762357,8857_11,,0,,,,
8857_51,,錦ケ丘五丁目,,38.250893,140.761479,8857_51,,0,,,,
8859_11,,錦ケ丘六丁目,,38.253563,140.763997,8859_11,,0,,,,
8859_51,,錦ケ丘六丁目,,38.252881,140.764379,8859_51,,0,,,,
8863_11,,錦ケ丘一丁目,,38.257564,140.763231,8863_11,,0,,,,
8863_51,,錦ケ丘一丁目,,38.257261,140.763580,8863_51,,0,,,,
9_11,,高等裁判所前,,38.257678,140.867985,9_11,,0,,,,
9_51,,高等裁判所前,,38.257438,140.867829,9_51,,0,,,,
